actor_id,first_name,last_name,last_update
1,PENELOPE,GUINESS,2022-02-15 09:34:33.000000 +00:00
2,NICK,WAHLBERG,2022-02-15 09:34:33.000000 +00:00
3,ED,CHASE,2022-02-15 09:34:33.000000 +00:00
4,JENNIFER,DAVIS,2022-02-15 09:34:33.000000 +00:00
5,JOHNNY,LOLLOBRIGIDA,2022-02-15 09:34:33.000000 +00:00
6,BETTE,NICHOLSON,2022-02-15 09:34:33.000000 +00:00
7,GRACE,MOSTEL,2022-02-15 09:34:33.000000 +00:00
8,MATTHEW,JOHANSSON,2022-02-15 09:34:33.000000 +00:00
9,JOE,SWANK,2022-02-15 09:34:33.000000 +00:00
10,CHRISTIAN,GABLE,2022-02-15 09:34:33.000000 +00:00
11,ZERO,CAGE,2022-02-15 09:34:33.000000 +00:00
12,KARL,BERRY,2022-02-15 09:34:33.000000 +00:00
13,UMA,WOOD,2022-02-15 09:34:33.000000 +00:00
14,VIVIEN,BERGEN,2022-02-15 09:34:33.000000 +00:00
15,CUBA,OLIVIER,2022-02-15 09:34:33.000000 +00:00
16,FRED,COSTNER,2022-02-15 09:34:33.000000 +00:00
17,HELEN,VOIGHT,2022-02-15 09:34:33.000000 +00:00
18,DAN,TORN,2022-02-15 09:34:33.000000 +00:00
19,BOB,FAWCETT,2022-02-15 09:34:33.000000 +00:00
20,LUCILLE,TRACY,2022-02-15 09:34:33.000000 +00:00
21,KIRSTEN,PALTROW,2022-02-15 09:34:33.000000 +00:00
22,ELVIS,MARX,2022-02-15 09:34:33.000000 +00:00
23,SANDRA,KILMER,2022-02-15 09:34:33.000000 +00:00
24,CAMERON,STREEP,2022-02-15 09:34:33.000000 +00:00
25,KEVIN,BLOOM,2022-02-15 09:34:33.000000 +00:00
26,RIP,CRAWFORD,2022-02-15 09:34:33.000000 +00:00
27,JULIA,MCQUEEN,2022-02-15 09:34:33.000000 +00:00
28,WOODY,HOFFMAN,2022-02-15 09:34:33.000000 +00:00
29,ALEC,WAYNE,2022-02-15 09:34:33.000000 +00:00
30,SANDRA,PECK,2022-02-15 09:34:33.000000 +00:00
31,SISSY,SOBIESKI,2022-02-15 09:34:33.000000 +00:00
32,TIM,HACKMAN,2022-02-15 09:34:33.000000 +00:00
33,MILLA,PECK,2022-02-15 09:34:33.000000 +00:00
34,AUDREY,OLIVIER,2022-02-15 09:34:33.000000 +00:00
35,JUDY,DEAN,2022-02-15 09:34:33.000000 +00:00
36,BURT,DUKAKIS,2022-02-15 09:34:33.000000 +00:00
37,VAL,BOLGER,2022-02-15 09:34:33.000000 +00:00
38,TOM,MCKELLEN,2022-02-15 09:34:33.000000 +00:00
39,GOLDIE,BRODY,2022-02-15 09:34:33.000000 +00:00
40,JOHNNY,CAGE,2022-02-15 09:34:33.000000 +00:00
41,JODIE,DEGENERES,2022-02-15 09:34:33.000000 +00:00
42,TOM,MIRANDA,2022-02-15 09:34:33.000000 +00:00
43,KIRK,JOVOVICH,2022-02-15 09:34:33.000000 +00:00
44,NICK,STALLONE,2022-02-15 09:34:33.000000 +00:00
45,REESE,KILMER,2022-02-15 09:34:33.000000 +00:00
46,PARKER,GOLDBERG,2022-02-15 09:34:33.000000 +00:00
47,JULIA,BARRYMORE,2022-02-15 09:34:33.000000 +00:00
48,FRANCES,DAY-LEWIS,2022-02-15 09:34:33.000000 +00:00
49,ANNE,CRONYN,2022-02-15 09:34:33.000000 +00:00
50,NATALIE,HOPKINS,2022-02-15 09:34:33.000000 +00:00
51,GARY,PHOENIX,2022-02-15 09:34:33.000000 +00:00
52,CARMEN,HUNT,2022-02-15 09:34:33.000000 +00:00
53,MENA,TEMPLE,2022-02-15 09:34:33.000000 +00:00
54,PENELOPE,PINKETT,2022-02-15 09:34:33.000000 +00:00
55,FAY,KILMER,2022-02-15 09:34:33.000000 +00:00
56,DAN,HARRIS,2022-02-15 09:34:33.000000 +00:00
57,JUDE,CRUISE,2022-02-15 09:34:33.000000 +00:00
58,CHRISTIAN,AKROYD,2022-02-15 09:34:33.000000 +00:00
59,DUSTIN,TAUTOU,2022-02-15 09:34:33.000000 +00:00
60,HENRY,BERRY,2022-02-15 09:34:33.000000 +00:00
61,CHRISTIAN,NEESON,2022-02-15 09:34:33.000000 +00:00
62,JAYNE,NEESON,2022-02-15 09:34:33.000000 +00:00
63,CAMERON,WRAY,2022-02-15 09:34:33.000000 +00:00
64,RAY,JOHANSSON,2022-02-15 09:34:33.000000 +00:00
65,ANGELA,HUDSON,2022-02-15 09:34:33.000000 +00:00
66,MARY,TANDY,2022-02-15 09:34:33.000000 +00:00
67,JESSICA,BAILEY,2022-02-15 09:34:33.000000 +00:00
68,RIP,WINSLET,2022-02-15 09:34:33.000000 +00:00
69,KENNETH,PALTROW,2022-02-15 09:34:33.000000 +00:00
70,MICHELLE,MCCONAUGHEY,2022-02-15 09:34:33.000000 +00:00
71,ADAM,GRANT,2022-02-15 09:34:33.000000 +00:00
72,SEAN,WILLIAMS,2022-02-15 09:34:33.000000 +00:00
73,GARY,PENN,2022-02-15 09:34:33.000000 +00:00
74,MILLA,KEITEL,2022-02-15 09:34:33.000000 +00:00
75,BURT,POSEY,2022-02-15 09:34:33.000000 +00:00
76,ANGELINA,ASTAIRE,2022-02-15 09:34:33.000000 +00:00
77,CARY,MCCONAUGHEY,2022-02-15 09:34:33.000000 +00:00
78,GROUCHO,SINATRA,2022-02-15 09:34:33.000000 +00:00
79,MAE,HOFFMAN,2022-02-15 09:34:33.000000 +00:00
80,RALPH,CRUZ,2022-02-15 09:34:33.000000 +00:00
81,SCARLETT,DAMON,2022-02-15 09:34:33.000000 +00:00
82,WOODY,JOLIE,2022-02-15 09:34:33.000000 +00:00
83,BEN,WILLIS,2022-02-15 09:34:33.000000 +00:00
84,JAMES,PITT,2022-02-15 09:34:33.000000 +00:00
85,MINNIE,ZELLWEGER,2022-02-15 09:34:33.000000 +00:00
86,GREG,CHAPLIN,2022-02-15 09:34:33.000000 +00:00
87,SPENCER,PECK,2022-02-15 09:34:33.000000 +00:00
88,KENNETH,PESCI,2022-02-15 09:34:33.000000 +00:00
89,CHARLIZE,DENCH,2022-02-15 09:34:33.000000 +00:00
90,SEAN,GUINESS,2022-02-15 09:34:33.000000 +00:00
91,CHRISTOPHER,BERRY,2022-02-15 09:34:33.000000 +00:00
92,KIRSTEN,AKROYD,2022-02-15 09:34:33.000000 +00:00
93,ELLEN,PRESLEY,2022-02-15 09:34:33.000000 +00:00
94,KENNETH,TORN,2022-02-15 09:34:33.000000 +00:00
95,DARYL,WAHLBERG,2022-02-15 09:34:33.000000 +00:00
96,GENE,WILLIS,2022-02-15 09:34:33.000000 +00:00
97,MEG,HAWKE,2022-02-15 09:34:33.000000 +00:00
98,CHRIS,BRIDGES,2022-02-15 09:34:33.000000 +00:00
99,JIM,MOSTEL,2022-02-15 09:34:33.000000 +00:00
100,SPENCER,DEPP,2022-02-15 09:34:33.000000 +00:00
101,SUSAN,DAVIS,2022-02-15 09:34:33.000000 +00:00
102,WALTER,TORN,2022-02-15 09:34:33.000000 +00:00
103,MATTHEW,LEIGH,2022-02-15 09:34:33.000000 +00:00
104,PENELOPE,CRONYN,2022-02-15 09:34:33.000000 +00:00
105,SIDNEY,CROWE,2022-02-15 09:34:33.000000 +00:00
106,GROUCHO,DUNST,2022-02-15 09:34:33.000000 +00:00
107,GINA,DEGENERES,2022-02-15 09:34:33.000000 +00:00
108,WARREN,NOLTE,2022-02-15 09:34:33.000000 +00:00
109,SYLVESTER,DERN,2022-02-15 09:34:33.000000 +00:00
110,SUSAN,DAVIS,2022-02-15 09:34:33.000000 +00:00
111,CAMERON,ZELLWEGER,2022-02-15 09:34:33.000000 +00:00
112,RUSSELL,BACALL,2022-02-15 09:34:33.000000 +00:00
113,MORGAN,HOPKINS,2022-02-15 09:34:33.000000 +00:00
114,MORGAN,MCDORMAND,2022-02-15 09:34:33.000000 +00:00
115,HARRISON,BALE,2022-02-15 09:34:33.000000 +00:00
116,DAN,STREEP,2022-02-15 09:34:33.000000 +00:00
117,RENEE,TRACY,2022-02-15 09:34:33.000000 +00:00
118,CUBA,ALLEN,2022-02-15 09:34:33.000000 +00:00
119,WARREN,JACKMAN,2022-02-15 09:34:33.000000 +00:00
120,PENELOPE,MONROE,2022-02-15 09:34:33.000000 +00:00
121,LIZA,BERGMAN,2022-02-15 09:34:33.000000 +00:00
122,SALMA,NOLTE,2022-02-15 09:34:33.000000 +00:00
123,JULIANNE,DENCH,2022-02-15 09:34:33.000000 +00:00
124,SCARLETT,BENING,2022-02-15 09:34:33.000000 +00:00
125,ALBERT,NOLTE,2022-02-15 09:34:33.000000 +00:00
126,FRANCES,TOMEI,2022-02-15 09:34:33.000000 +00:00
127,KEVIN,GARLAND,2022-02-15 09:34:33.000000 +00:00
128,CATE,MCQUEEN,2022-02-15 09:34:33.000000 +00:00
129,DARYL,CRAWFORD,2022-02-15 09:34:33.000000 +00:00
130,GRETA,KEITEL,2022-02-15 09:34:33.000000 +00:00
131,JANE,JACKMAN,2022-02-15 09:34:33.000000 +00:00
132,ADAM,HOPPER,2022-02-15 09:34:33.000000 +00:00
133,RICHARD,PENN,2022-02-15 09:34:33.000000 +00:00
134,GENE,HOPKINS,2022-02-15 09:34:33.000000 +00:00
135,RITA,REYNOLDS,2022-02-15 09:34:33.000000 +00:00
136,ED,MANSFIELD,2022-02-15 09:34:33.000000 +00:00
137,MORGAN,WILLIAMS,2022-02-15 09:34:33.000000 +00:00
138,LUCILLE,DEE,2022-02-15 09:34:33.000000 +00:00
139,EWAN,GOODING,2022-02-15 09:34:33.000000 +00:00
140,WHOOPI,HURT,2022-02-15 09:34:33.000000 +00:00
141,CATE,HARRIS,2022-02-15 09:34:33.000000 +00:00
142,JADA,RYDER,2022-02-15 09:34:33.000000 +00:00
143,RIVER,DEAN,2022-02-15 09:34:33.000000 +00:00
144,ANGELA,WITHERSPOON,2022-02-15 09:34:33.000000 +00:00
145,KIM,ALLEN,2022-02-15 09:34:33.000000 +00:00
146,ALBERT,JOHANSSON,2022-02-15 09:34:33.000000 +00:00
147,FAY,WINSLET,2022-02-15 09:34:33.000000 +00:00
148,EMILY,DEE,2022-02-15 09:34:33.000000 +00:00
149,RUSSELL,TEMPLE,2022-02-15 09:34:33.000000 +00:00
150,JAYNE,NOLTE,2022-02-15 09:34:33.000000 +00:00
151,GEOFFREY,HESTON,2022-02-15 09:34:33.000000 +00:00
152,BEN,HARRIS,2022-02-15 09:34:33.000000 +00:00
153,MINNIE,KILMER,2022-02-15 09:34:33.000000 +00:00
154,MERYL,GIBSON,2022-02-15 09:34:33.000000 +00:00
155,IAN,TANDY,2022-02-15 09:34:33.000000 +00:00
156,FAY,WOOD,2022-02-15 09:34:33.000000 +00:00
157,GRETA,MALDEN,2022-02-15 09:34:33.000000 +00:00
158,VIVIEN,BASINGER,2022-02-15 09:34:33.000000 +00:00
159,LAURA,BRODY,2022-02-15 09:34:33.000000 +00:00
160,CHRIS,DEPP,2022-02-15 09:34:33.000000 +00:00
161,HARVEY,HOPE,2022-02-15 09:34:33.000000 +00:00
162,OPRAH,KILMER,2022-02-15 09:34:33.000000 +00:00
163,CHRISTOPHER,WEST,2022-02-15 09:34:33.000000 +00:00
164,HUMPHREY,WILLIS,2022-02-15 09:34:33.000000 +00:00
165,AL,GARLAND,2022-02-15 09:34:33.000000 +00:00
166,NICK,DEGENERES,2022-02-15 09:34:33.000000 +00:00
167,LAURENCE,BULLOCK,2022-02-15 09:34:33.000000 +00:00
168,WILL,WILSON,2022-02-15 09:34:33.000000 +00:00
169,KENNETH,HOFFMAN,2022-02-15 09:34:33.000000 +00:00
170,MENA,HOPPER,2022-02-15 09:34:33.000000 +00:00
171,OLYMPIA,PFEIFFER,2022-02-15 09:34:33.000000 +00:00
172,GROUCHO,WILLIAMS,2022-02-15 09:34:33.000000 +00:00
173,ALAN,DREYFUSS,2022-02-15 09:34:33.000000 +00:00
174,MICHAEL,BENING,2022-02-15 09:34:33.000000 +00:00
175,WILLIAM,HACKMAN,2022-02-15 09:34:33.000000 +00:00
176,JON,CHASE,2022-02-15 09:34:33.000000 +00:00
177,GENE,MCKELLEN,2022-02-15 09:34:33.000000 +00:00
178,LISA,MONROE,2022-02-15 09:34:33.000000 +00:00
179,ED,GUINESS,2022-02-15 09:34:33.000000 +00:00
180,JEFF,SILVERSTONE,2022-02-15 09:34:33.000000 +00:00
181,MATTHEW,CARREY,2022-02-15 09:34:33.000000 +00:00
182,DEBBIE,AKROYD,2022-02-15 09:34:33.000000 +00:00
183,RUSSELL,CLOSE,2022-02-15 09:34:33.000000 +00:00
184,HUMPHREY,GARLAND,2022-02-15 09:34:33.000000 +00:00
185,MICHAEL,BOLGER,2022-02-15 09:34:33.000000 +00:00
186,JULIA,ZELLWEGER,2022-02-15 09:34:33.000000 +00:00
187,RENEE,BALL,2022-02-15 09:34:33.000000 +00:00
188,ROCK,DUKAKIS,2022-02-15 09:34:33.000000 +00:00
189,CUBA,BIRCH,2022-02-15 09:34:33.000000 +00:00
190,AUDREY,BAILEY,2022-02-15 09:34:33.000000 +00:00
191,GREGORY,GOODING,2022-02-15 09:34:33.000000 +00:00
192,JOHN,SUVARI,2022-02-15 09:34:33.000000 +00:00
193,BURT,TEMPLE,2022-02-15 09:34:33.000000 +00:00
194,MERYL,ALLEN,2022-02-15 09:34:33.000000 +00:00
195,JAYNE,SILVERSTONE,2022-02-15 09:34:33.000000 +00:00
196,BELA,WALKEN,2022-02-15 09:34:33.000000 +00:00
197,REESE,WEST,2022-02-15 09:34:33.000000 +00:00
198,MARY,KEITEL,2022-02-15 09:34:33.000000 +00:00
199,JULIA,FAWCETT,2022-02-15 09:34:33.000000 +00:00
200,THORA,TEMPLE,2022-02-15 09:34:33.000000 +00:00
